doc_id,url,cache,fulltext,nature,published,entity_name,entity_type,geo_path
1259/cad90_1_-_PV_DU_24_JANVIER_2023.pdf,https://www.nerac.fr/images/2-Vie-municipale/Conseil-municipal/PV_CM_2022/1_-_PV_DU_24_JANVIER_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1259/cad90_1_-_PV_DU_24_JANVIER_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1259/cad90_1_-_PV_DU_24_JANVIER_2023.pdf.txt,,2023-01-24 00:00:00,Nérac,Commune,Nérac/CC Albret Communauté/Lot-et-Garonne/Nouvelle-Aquitaine
1259/ff35c_DEL_002_-_ENGAGEMENT_DES_CREDITS_DINVESTISSEMENT_AVANT_LE_VOTE_DU_BUDGET_PRIMITIF_2023.pdf,http://www.nerac.fr/images/2-Vie-municipale/Conseil-municipal/Deliberations_CM/24_jan_2023/DEL_002_-_ENGAGEMENT_DES_CREDITS_DINVESTISSEMENT_AVANT_LE_VOTE_DU_BUDGET_PRIMITIF_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1259/ff35c_DEL_002_-_ENGAGEMENT_DES_CREDITS_DINVESTISSEMENT_AVANT_LE_VOTE_DU_BUDGET_PRIMITIF_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1259/ff35c_DEL_002_-_ENGAGEMENT_DES_CREDITS_DINVESTISSEMENT_AVANT_LE_VOTE_DU_BUDGET_PRIMITIF_2023.pdf.txt,acte.delib,2023-01-26 00:00:00,Nérac,Commune,Nérac/CC Albret Communauté/Lot-et-Garonne/Nouvelle-Aquitaine
1259/6a65f_1_-_PV_DU_24_JANVIER_2023.pdf,http://www.nerac.fr/images/2-Vie-municipale/Conseil-municipal/PV_CM_2022/1_-_PV_DU_24_JANVIER_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1259/6a65f_1_-_PV_DU_24_JANVIER_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1259/6a65f_1_-_PV_DU_24_JANVIER_2023.pdf.txt,,2023-01-24 00:00:00,Nérac,Commune,Nérac/CC Albret Communauté/Lot-et-Garonne/Nouvelle-Aquitaine
2261/1de7d_DLVA_2021_AGGLO-INFOS-18_compressed.pdf,https://www.dlva.fr/wp-content/uploads/2023/01/DLVA_2021_AGGLO-INFOS-18_compressed.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2261/1de7d_DLVA_2021_AGGLO-INFOS-18_compressed.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2261/1de7d_DLVA_2021_AGGLO-INFOS-18_compressed.pdf.txt,,2023-01-01 00:00:00,CA Durance-Lubéron-Verdon Agglomération (04),Intercommunalité,CA Durance-Lubéron-Verdon Agglomération (04)/Alpes-de-Haute-Provence/Provence-Alpes-Côte d'Azur
2702/2878c_CP-CCPL-2023-01-22-Les-Hivernales-vf.pdf,https://www.cc-paysdelimours.fr/files/CCPL-2020/Espace-presse/CP-CCPL-2023-01-22-Les-Hivernales-vf.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2702/2878c_CP-CCPL-2023-01-22-Les-Hivernales-vf.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2702/2878c_CP-CCPL-2023-01-22-Les-Hivernales-vf.pdf.txt,,2023-01-22 00:00:00,CC du Pays de Limours (CCPL),Intercommunalité,CC du Pays de Limours (CCPL)/Essonne/Île-de-France
2713/e87b2_Plan_Action_CASGBS.pdf,https://www.saintgermainbouclesdeseine.fr/wp-content/uploads/2023/01/Plan_Action_CASGBS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2713/e87b2_Plan_Action_CASGBS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2713/e87b2_Plan_Action_CASGBS.pdf.txt,,2023-01-01 00:00:00,CA Saint Germain Boucles de Seine (78),Intercommunalité,CA Saint Germain Boucles de Seine (78)/Yvelines/Île-de-France
2713/9eef1_Resume_Non_Techniques_CASGBS.pdf,https://www.saintgermainbouclesdeseine.fr/wp-content/uploads/2023/01/Resume_Non_Techniques_CASGBS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2713/9eef1_Resume_Non_Techniques_CASGBS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2713/9eef1_Resume_Non_Techniques_CASGBS.pdf.txt,,2023-01-01 00:00:00,CA Saint Germain Boucles de Seine (78),Intercommunalité,CA Saint Germain Boucles de Seine (78)/Yvelines/Île-de-France
2713/e3f75_Evaluation_Environnementale_Strategique_CASGBS.pdf,https://www.saintgermainbouclesdeseine.fr/wp-content/uploads/2023/01/Evaluation_Environnementale_Strategique_CASGBS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2713/e3f75_Evaluation_Environnementale_Strategique_CASGBS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2713/e3f75_Evaluation_Environnementale_Strategique_CASGBS.pdf.txt,,2023-01-01 00:00:00,CA Saint Germain Boucles de Seine (78),Intercommunalité,CA Saint Germain Boucles de Seine (78)/Yvelines/Île-de-France
2713/6ed88_Rapport-Strategique_CASGBS.pdf,https://www.saintgermainbouclesdeseine.fr/wp-content/uploads/2023/01/Rapport-Strategique_CASGBS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/2713/6ed88_Rapport-Strategique_CASGBS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/2713/6ed88_Rapport-Strategique_CASGBS.pdf.txt,,2023-01-01 00:00:00,CA Saint Germain Boucles de Seine (78),Intercommunalité,CA Saint Germain Boucles de Seine (78)/Yvelines/Île-de-France
1859/b422c_RECUEIL_2EME_TRIM_2022.pdf,http://www.montreuil.fr/fileadmin/user_upload/02_Vie_citoyenne/12_Recueils_administratifs/RECUEIL_2EME_TRIM_2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/1859/b422c_RECUEIL_2EME_TRIM_2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/random/txt/1859/b422c_RECUEIL_2EME_TRIM_2022.pdf.txt,,2023-01-04 00:00:00,Montreuil,Commune,Montreuil/Métropole du Grand Paris (93)/Seine-Saint-Denis/Île-de-France
